Anexo;Segmento;item;CEST;NCM;Descri??o
II;AUTOPE?AS;210;102100;7325;Obras moldadas, de ferro fundido, ferro ou a?o, exceto as do c?digo 7325.91.00
II;AUTOPE?AS;220;102200;7806.00;Peso de chumbo para balanceamento de roda
II;AUTOPE?AS;230;102300;8007.00.90;Peso para balanceamento de roda e outros utens?lios de estanho
II;AUTOPE?AS;240;102400;8301.20 8301.60;Fechaduras e partes de fechaduras
II;AUTOPE?AS;250;102500;8301.70;Chaves apresentadas isoladamente
II;AUTOPE?AS;260;102600;8302.10.00 8302.30.00;Dobradi?as, guarni??es, ferragens e artigos semelhantes de metais comuns
II;AUTOPE?AS;270;102700;8310.00;Tri?ngulo de seguran?a
II;AUTOPE?AS;280;102800;8407.3;Motores de pist?o alternativo dos tipos utilizados para propuls?o de ve?culos do Cap?tulo 87
II;AUTOPE?AS;290;102900;8408.20;Motores dos tipos utilizados para propuls?o de ve?culos automotores
II;AUTOPE?AS;300;103000;8409.9;Partes reconhec?veis como exclusiva ou principalmente destinadas aos motores das posi??es 8407 ou 8408
II;AUTOPE?AS;310;103100;8412.2;Motores hidr?ulicos
II;AUTOPE?AS;320;103200;8413.30;Bombas para combust?veis, lubrificantes ou l?quidos de arrefecimento, pr?prias para motores de igni??o por centelha ou por compress?o
II;AUTOPE?AS;330;103300;8414.10.00;Bombas de v?cuo
II;AUTOPE?AS;340;103400;8414.80.1 8414.80.2;Compressores e turbocompressores de ar
II;AUTOPE?AS;350;103500;8413.91.90 8414.90.10 8414.90.3 8414.90.39;Partes das bombas, compressores e turbocompressores dos CEST 01.032.00, 01.033.00 e 01.034.00
II;AUTOPE?AS;360;103600;8415.20;M?quinas e aparelhos de ar condicionado
II;AUTOPE?AS;370;103700;8421.23.00;Aparelhos para filtrar ?leos minerais nos motores de igni??o por centelha ou por compress?o
II;AUTOPE?AS;380;103800;8421.29.90;Filtros a v?cuo
II;AUTOPE?AS;390;103900;8421.9;Partes dos aparelhos para filtrar ou depurar l?quidos ou gases
II;AUTOPE?AS;400;104000;8424.10.00;Extintores, mesmo carregados
II;AUTOPE?AS;410;104100;8421.31.00;Filtros de entrada de ar para motores de igni??o por centelha ou por compress?o
II;AUTOPE?AS;420;104200;8421.39.20;Depuradores por convers?o catal?tica de gases de escape
II;AUTOPE?AS;430;104300;8425.42.00;Macacos
II;AUTOPE?AS;440;104400;8431.10.10;Partes para macacos do CEST 01.043.00
II;AUTOPE?AS;450;104500;8431.49.2;Partes reconhec?veis como exclusiva ou principalmente destinadas ?s m?quinas agr?colas ou rodovi?rias
II;AUTOPE?AS;451;104501;8433.90.90;Partes reconhec?veis como exclusiva ou principalmente destinadas ?s m?quinas agr?colas ou rodovi?rias
II;AUTOPE?AS;460;104600;8481.10.00;V?lvulas redutoras de press?o
II;AUTOPE?AS;470;104700;8481.2;V?lvulas para transmiss?o ?leo-hidr?ulicas ou pneum?ticas
II;AUTOPE?AS;480;104800;8481.80.92;V?lvulas solenoides
II;AUTOPE?AS;490;104900;8482;Rolamentos
II;AUTOPE?AS;500;105000;8483;?rvores de transmiss?o (inclu?das as ?rvores de ?cames? e virabrequins) e manivelas mancais e ?bronzes? engrenagens e rodas de fric??o eixos de esferas ou de roletes redutores, multiplicadores, caixas de transmiss?o e variadores de velocidade, inclu?dos os conversores de torque volantes e polias, inclu?das as polias para cadernais embreagens e dispositivos de acoplamento, inclu?das as juntas de articula??o
II;AUTOPE?AS;510;105100;8484;Juntas metalopl?sticas jogos ou sortidos de juntas de composi??es diferentes, apresentados em bolsas, envelopes ou embalagens semelhantes juntas de veda??o mec?nicas (selos mec?nicos)
II;AUTOPE?AS;520;105200;8505.20;Acoplamentos, embreagens, variadores de velocidade e freios, eletromagn?ticos
II;AUTOPE?AS;530;105300;8507.10;Acumuladores el?tricos de chumbo, do tipo utilizado para o arranque dos motores de pist?o, exceto os classificados no CEST 01.053.01
II;AUTOPE?AS;531;105301;8507.10.10;Acumuladores el?tricos de chumbo, do tipo utilizado para o arranque dos motores de pist?o e de capacidade inferior ou igual a 20 Ah e tens?o inferior ou igual a 12 V
II;AUTOPE?AS;540;105400;8511;Aparelhos e dispositivos el?tricos de igni??o ou de arranque para motores de igni??o por centelha ou por compress?o (por exemplo, magnetos, d?namos-magnetos, bobinas de igni??o, velas de igni??o ou de aquecimento, motores de arranque) geradores (d?namos e alternadores, por exemplo) e conjuntores-disjuntores utilizados com estes motores
II;AUTOPE?AS;550;105500;8512.20 8512.40 8512.90.00;Aparelhos el?tricos de ilumina??o ou de sinaliza??o (exceto os da posi??o 8539), limpadores de para-brisas, degeladores e desemba?adores (desembaciadores) el?tricos e suas partes
II;AUTOPE?AS;560;105600;8517.12.13;Telefones m?veis do tipo dos utilizados em ve?culos autom?veis.
II;AUTOPE?AS;570;105700;8518;Alto-falantes, amplificadores el?tricos de audiofrequ?ncia e partes
II;AUTOPE?AS;580;105800;8518.50.00;Aparelhos el?tricos de amplifica??o de som para ve?culos automotores
II;AUTOPE?AS;590;105900;8519.81;Aparelhos de reprodu??o de som
II;AUTOPE?AS;600;106000;8525.50.1 8525.60.10;Aparelhos transmissores (emissores) de radiotelefonia ou radiotelegrafia (r?dio receptor/transmissor)
II;AUTOPE?AS;610;106100;8527.21.00;Aparelhos receptores de radiodifus?o que s? funcionem com fonte externa de energia combinados com um aparelho de grava??o ou de reprodu??o de som, do tipo utilizado em ve?culos autom?veis
II;AUTOPE?AS;620;106200;8527.29.00;Outros aparelhos receptores de radiodifus?o que s? funcionem com fonte externa de energia, do tipo utilizado em ve?culos autom?veis
II;AUTOPE?AS;621;106201;8521.90.90;Outros aparelhos videof?nicos de grava??o ou de reprodu??o, mesmo incorporando um receptor de sinais videof?nicos, dos tipos utilizados exclusivamente em ve?culos automotores
II;AUTOPE?AS;630;106300;8529.10.90;Antenas
II;AUTOPE?AS;640;106400;8534.00;Circuitos impressos
II;AUTOPE?AS;650;106500;8535.30 8536.50;Interruptores e seccionadores e comutadores
II;AUTOPE?AS;660;106600;8536.10.00;Fus?veis e corta-circuitos de fus?veis
II;AUTOPE?AS;670;106700;8536.20.00;Disjuntores
II;AUTOPE?AS;680;106800;8536.4;Rel?s
II;AUTOPE?AS;690;106900;8538;Partes reconhec?veis como exclusivas ou principalmente destinados aos aparelhos dos CEST 01.065.00, 01.066.00, 01.067.00 e 01.068.00
II;AUTOPE?AS;700;107000;8539.10;Far?is e projetores, em unidades seladas
II;AUTOPE?AS;710;107100;8539.2;L?mpadas e tubos de incandesc?ncia, exceto de raios ultravioleta ou infravermelhos
II;AUTOPE?AS;720;107200;8544.20.00;Cabos coaxiais e outros condutores el?tricos coaxiais
II;AUTOPE?AS;730;107300;8544.30.00;Jogos de fios para velas de igni??o e outros jogos de fios
II;AUTOPE?AS;740;107400;8707;Carro?arias para os ve?culos autom?veis das posi??es 8701 a 8705, inclu?das as cabinas
II;AUTOPE?AS;750;107500;8708;Partes e acess?rios dos ve?culos autom?veis das posi??es 8701 a 8705
II;AUTOPE?AS;760;107600;8714.1;Parte e acess?rios de motocicletas (inclu?dos os ciclomotores)
II;AUTOPE?AS;770;107700;8716.90.90;Engates para reboques e semirreboques
II;AUTOPE?AS;780;107800;9026.10;Medidores de n?vel Medidores de vaz?o
II;AUTOPE?AS;790;107900;9026.20;Aparelhos para medida ou controle da press?o
II;AUTOPE?AS;800;108000;9029;Contadores, indicadores de velocidade e tac?metros, suas partes e acess?rios
II;AUTOPE?AS;810;108100;9030.33.21;Amper?metros
II;AUTOPE?AS;820;108200;9031.80.40;Aparelhos digitais, de uso em ve?culos autom?veis, para medida e indica??o de m?ltiplas grandezas tais como: velocidade m?dia, consumos instant?neo e m?dio e autonomia (computador de bordo)
II;AUTOPE?AS;830;108300;9032.89.2;Controladores eletr?nicos
II;AUTOPE?AS;840;108400;9104.00.00;Rel?gios para pain?is de instrumentos e rel?gios semelhantes
II;AUTOPE?AS;850;108500;9401.20.00 9401.90.90;Assentos e partes de assentos
II;AUTOPE?AS;860;108600;9613.80.00;Acendedores
II;AUTOPE?AS;870;108700;4009;Tubos de borracha vulcanizada n?o endurecida, mesmo providos de seus acess?rios
II;AUTOPE?AS;880;108800;4504.90.00 6812.99.10;Juntas de veda??o de corti?a natural e de amianto
II;AUTOPE?AS;890;108900;4823.40.00;Papel-diagrama para tac?grafo, em disco
II;AUTOPE?AS;900;109000;3919.10.00 3919.90.00 8708.29.99;Fitas, tiras, adesivos, autocolantes, de pl?stico, refletores, mesmo em rolos placas met?licas com pel?cula de pl?stico refletora, pr?prias para coloca??o em carrocerias, para-choques de ve?culos de carga, motocicletas, ciclomotores, capacetes, bon?s de agentes de tr?nsito e de condutores de ve?culos, atuando como dispositivos refletivos de seguran?a rodovi?rios
II;AUTOPE?AS;910;109100;8412.31.10;Cilindros pneum?ticos
II;AUTOPE?AS;920;109200;8413.19.00 8413.50.90 8413.81.00;Bomba el?trica de lavador de para-brisa
II;AUTOPE?AS;930;109300;8413.60.19 8413.70.10;Bomba de assist?ncia de dire??o hidr?ulica
II;AUTOPE?AS;940;109400;8414.59.10 8414.59.90;Motoventiladores
II;AUTOPE?AS;950;109500;8421.39.90;Filtros de p?len do ar-condicionado
II;AUTOPE?AS;960;109600;8501.10.19;?M?quina? de vidro el?trico de porta
II;AUTOPE?AS;970;109700;8501.31.10;Motor de limpador de para-brisa
II;AUTOPE?AS;980;109800;8504.50.00;Bobinas de reat?ncia e de autoindu??o
II;AUTOPE?AS;990;109900;8507.20 8507.30;Baterias de chumbo e de n?quel-c?dmio
II;AUTOPE?AS;1000;110000;8512.30.00;Aparelhos de sinaliza??o ac?stica (buzina)
II;AUTOPE?AS;1010;110100;9032.89.8 9032.89.9;Instrumentos para regula??o de grandezas n?o el?tricas
II;AUTOPE?AS;1020;110200;9027.10.00;Analisadores de gases ou de fuma?a (sonda lambda)
II;AUTOPE?AS;1030;110300;4008.11.00;Perfilados de borracha vulcanizada n?o endurecida
II;AUTOPE?AS;1040;110400;5601.22.19;Artefatos de pasta de fibra de uso automotivo
II;AUTOPE?AS;1050;110500;5703.20.00;Tapetes/carpetes - nail?n
II;AUTOPE?AS;1060;110600;5703.30.00;Tapetes de mat?rias t?xteis sint?ticas
II;AUTOPE?AS;1070;110700;5911.90.00;Forra??o interior capacete
II;AUTOPE?AS;1080;110800;6903.90.99;Outros para-brisas
II;AUTOPE?AS;1090;110900;7007.29.00;Moldura com espelho
II;AUTOPE?AS;1100;111000;7314.50.00;REVOGADO
II;AUTOPE?AS;1110;111100;7315.11.00;Corrente transmiss?o
II;AUTOPE?AS;1120;111200;7315.12.10;Outras correntes de transmiss?o
II;AUTOPE?AS;1130;111300;8418.99.00;Condensador tubular met?lico
II;AUTOPE?AS;1140;111400;8419.50;Trocadores de calor
II;AUTOPE?AS;1150;111500;8424.90.90;Partes de aparelhos mec?nicos de pulverizar ou dispersar
II;AUTOPE?AS;1160;111600;8425.49.10;Macacos manuais para ve?culos
II;AUTOPE?AS;1170;111700;8431.41.00;Ca?ambas, p?s, ganchos e tenazes para m?quinas rodovi?rias
II;AUTOPE?AS;1180;111800;8501.61.00;Geradores de corrente alternada de pot?ncia n?o superior a 75 kva
II;AUTOPE?AS;1190;111900;8531.10.90;Aparelhos el?tricos para alarme de uso automotivo
II;AUTOPE?AS;1200;112000;9014.10.00;B?ssolas
II;AUTOPE?AS;1210;112100;9025.19.90;Indicadores de temperatura
II;AUTOPE?AS;1220;112200;9025.90.10;Partes de indicadores de temperatura
II;AUTOPE?AS;1230;112300;9026.90;Partes de aparelhos de medida ou controle
II;AUTOPE?AS;1240;112400;9032.10.10;Termostatos
II;AUTOPE?AS;1250;112500;9032.10.90;Instrumentos e aparelhos para regula??o
II;AUTOPE?AS;1260;112600;9032.20.00;Pressostatos
II;AUTOPE?AS;1270;112700;8716.90;Pe?as para reboques e semirreboques, exceto os itens classificados no CEST 01.077.00
II;AUTOPE?AS;1280;112800;7322.90.10;Geradores de ar quente a combust?vel l?quido, com capacidade superior ou igual a 1.500 kcal/h, mas inferior ou igual a 10.400 kcal/h, do tipo dos utilizados em ve?culos autom?veis
II;AUTOPE?AS;9990;199900;?;"Outras pe?as, partes e acess?rios para ve?culos automotores n?o relacionados nos demais itens deste anexo?"
III;BEBIDAS ALCO?LICAS, EXCETO CERVEJA E CHOPE;10;200100;"22052208.90.00";Aperitivos, amargos, bitter e similares
III;BEBIDAS ALCO?LICAS, EXCETO CERVEJA E CHOPE;20;200200;2208.90.00;Batida e similares
III;BEBIDAS ALCO?LICAS, EXCETO CERVEJA E CHOPE;30;200300;2208.90.00;Bebida ice
III;BEBIDAS ALCO?LICAS, EXCETO CERVEJA E CHOPE;40;200400;"2207.202208.40.00";Cacha?a e aguardentes
III;BEBIDAS ALCO?LICAS, EXCETO CERVEJA E CHOPE;50;200500;"22052206.00.902208.90.00";Catuaba e similares
III;BEBIDAS ALCO?LICAS, EXCETO CERVEJA E CHOPE;60;200600;2208.20.00;Conhaque, brandy e similares
III;BEBIDAS ALCO?LICAS, EXCETO CERVEJA E CHOPE;70;200700;"2206.00.902208.90.00";Cooler
III;BEBIDAS ALCO?LICAS, EXCETO CERVEJA E CHOPE;80;200800;2208.50.00;Gim (gin) e genebra
III;BEBIDAS ALCO?LICAS, EXCETO CERVEJA E CHOPE;90;200900;"22052206.00.902208.90.00";Jurubeba e similares
III;BEBIDAS ALCO?LICAS, EXCETO CERVEJA E CHOPE;100;201000;2208.70.00;Licores e similares
III;BEBIDAS ALCO?LICAS, EXCETO CERVEJA E CHOPE;110;201100;2208.20.00;Pisco
III;BEBIDAS ALCO?LICAS, EXCETO CERVEJA E CHOPE;120;201200;2208.40.00;Rum
III;BEBIDAS ALCO?LICAS, EXCETO CERVEJA E CHOPE;130;201300;2206.00.90;Saqu?
III;BEBIDAS ALCO?LICAS, EXCETO CERVEJA E CHOPE;140;201400;2208.90.00;Steinhaeger
III;BEBIDAS ALCO?LICAS, EXCETO CERVEJA E CHOPE;150;201500;2208.90.00;Tequila
III;BEBIDAS ALCO?LICAS, EXCETO CERVEJA E CHOPE;160;201600;2208.30;U?sque
III;BEBIDAS ALCO?LICAS, EXCETO CERVEJA E CHOPE;170;201700;2205;Vermute e similares
III;BEBIDAS ALCO?LICAS, EXCETO CERVEJA E CHOPE;180;201800;2208.60.00;Vodka
III;BEBIDAS ALCO?LICAS, EXCETO CERVEJA E CHOPE;190;201900;2208.90.00;Derivados de vodka
III;BEBIDAS ALCO?LICAS, EXCETO CERVEJA E CHOPE;200;202000;2208.90.00;Arak
III;BEBIDAS ALCO?LICAS, EXCETO CERVEJA E CHOPE;210;202100;2208.20.00;Aguardente v?nica / grappa
III;BEBIDAS ALCO?LICAS, EXCETO CERVEJA E CHOPE;220;202200;2206.00.10;Sidra e similares
III;BEBIDAS ALCO?LICAS, EXCETO CERVEJA E CHOPE;230;202300;"22052206.00.902208.90.00";Sangrias e coquet?is
III;BEBIDAS ALCO?LICAS, EXCETO CERVEJA E CHOPE;240;202400;2204;Vinhos de uvas frescas, incluindo os vinhos enriquecidos com ?lcool mostos de uvas.
III;BEBIDAS ALCO?LICAS, EXCETO CERVEJA E CHOPE;9990;299900;"2205220622072208";"Outras bebidas alco?licas n?o especificadas nos itens anteriores?"
IV;CERVEJAS, CHOPES, REFRIGERANTES, ?GUAS E OUTRAS BEBIDAS;10;300100;2201.10.00;?gua mineral, gasosa ou n?o, ou pot?vel, naturais, em garrafa de vidro, retorn?vel ou n?o, com capacidade de at? 500 ml
IV;CERVEJAS, CHOPES, REFRIGERANTES, ?GUAS E OUTRAS BEBIDAS;20;300200;2201.10.00;?gua mineral, gasosa ou n?o, ou pot?vel, naturais, em embalagem com capacidade igual ou superior a 5.000 ml exceto as classificadas no CEST 03.024.00 e 03.025.00
IV;CERVEJAS, CHOPES, REFRIGERANTES, ?GUAS E OUTRAS BEBIDAS;30;300300;2201.10.00;?gua mineral, gasosa ou n?o, ou pot?vel, naturais, em embalagem de vidro, n?o retorn?vel, com capacidade de at? 300 ml
IV;CERVEJAS, CHOPES, REFRIGERANTES, ?GUAS E OUTRAS BEBIDAS;40;300400;2201.10.00;?gua mineral, gasosa ou n?o, ou pot?vel, naturais, em garrafa pl?stica de 1.500 ml
IV;CERVEJAS, CHOPES, REFRIGERANTES, ?GUAS E OUTRAS BEBIDAS;50;300500;2201.10.00;?gua mineral, gasosa ou n?o, ou pot?vel, naturais, em copos pl?sticos e embalagem pl?stica com capacidade de at? 500 ml
IV;CERVEJAS, CHOPES, REFRIGERANTES, ?GUAS E OUTRAS BEBIDAS;60;300600;2201.10.00;Outras ?guas minerais, pot?veis ou naturais, gasosas ou n?o, inclusive gaseificadas exceto as classificadas no CEST 03.024.00 e 03.025.00
IV;CERVEJAS, CHOPES, REFRIGERANTES, ?GUAS E OUTRAS BEBIDAS;70;300700;2202.10.00;?guas minerais, pot?veis ou naturais, gasosas ou n?o, inclusive gaseificadas ou aromatizadas artificialmente, exceto os refrescos e refrigerantes
IV;CERVEJAS, CHOPES, REFRIGERANTES, ?GUAS E OUTRAS BEBIDAS;80;300800;2202.99.00;Outras ?guas minerais, pot?veis ou naturais, gasosas ou n?o, inclusive gaseificadas ou aromatizadas artificialmente
IV;CERVEJAS, CHOPES, REFRIGERANTES, ?GUAS E OUTRAS BEBIDAS;100;301000;2202;Refrigerantes em garrafa com capacidade igual ou superior a 600 ml, exceto os classificados no CEST 03.011.01
IV;CERVEJAS, CHOPES, REFRIGERANTES, ?GUAS E OUTRAS BEBIDAS;110;301100;2202;Demais refrigerantes, exceto os classificados no CEST 03.010.00 e 03.011.01
IV;CERVEJAS, CHOPES, REFRIGERANTES, ?GUAS E OUTRAS BEBIDAS;111;301101;2202;Espumantes sem ?lcool
IV;CERVEJAS, CHOPES, REFRIGERANTES, ?GUAS E OUTRAS BEBIDAS;120;301200;2106.90.10;Xarope ou extrato concentrado destinados ao preparo de refrigerante em m?quina ?pr?-mix? ou ?post-mix?
IV;CERVEJAS, CHOPES, REFRIGERANTES, ?GUAS E OUTRAS BEBIDAS;130;301300;"2106.90 2202.99.00";Bebidas energ?ticas em embalagem com capacidade inferior a 600ml
IV;CERVEJAS, CHOPES, REFRIGERANTES, ?GUAS E OUTRAS BEBIDAS;140;301400;"2106.902202.99.00";Bebidas energ?ticas em embalagem com capacidade igual ou superior a 600ml
IV;CERVEJAS, CHOPES, REFRIGERANTES, ?GUAS E OUTRAS BEBIDAS;150;301500;"2106.902202.99.00";Bebidas hidroeletrol?ticas (isot?nicas) em embalagem com capacidade inferior a 600ml
IV;CERVEJAS, CHOPES, REFRIGERANTES, ?GUAS E OUTRAS BEBIDAS;160;301600;"2106.902202.99.00";Bebidas hidroeletrol?ticas (isot?nicas) em embalagem com capacidade igual ou superior a 600ml
IV;CERVEJAS, CHOPES, REFRIGERANTES, ?GUAS E OUTRAS BEBIDAS;210;302100;2203.00.00;Cerveja
IV;CERVEJAS, CHOPES, REFRIGERANTES, ?GUAS E OUTRAS BEBIDAS;220;302200;2202.91.00;Cerveja sem ?lcool
IV;CERVEJAS, CHOPES, REFRIGERANTES, ?GUAS E OUTRAS BEBIDAS;230;302300;2203.00.00;Chope
IV;CERVEJAS, CHOPES, REFRIGERANTES, ?GUAS E OUTRAS BEBIDAS;240;302400;2201.10.00;?gua mineral em embalagens retorn?veis com capacidade igual ou superior a 10 (dez) e inferior a 20 (vinte) litros
IV;CERVEJAS, CHOPES, REFRIGERANTES, ?GUAS E OUTRAS BEBIDAS;250;302500;2201.10.00;"?gua mineral em embalagens retorn?veis com capacidade igual ou superior a 20 (vinte) litros?"
V;CIGARROS E OUTROS PRODUTOS DERIVADOS DO FUMO;10;400100;2402;Charutos, cigarrilhas e cigarros, de tabaco ou dos seus suced?neos
V;CIGARROS E OUTROS PRODUTOS DERIVADOS DO FUMO;20;400200;2403.1;"Tabaco para fumar, mesmo contendo suced?neos de tabaco em qualquer propor??o?"
VI;CIMENTOS;10;500100;2523;"Cimento?"
VII;COMBUST?VEIS E LUBRIFICANTES;10;600100;2207.10.10;?lcool et?lico n?o desnaturado, com um teor alco?lico em volume igual ou superior a 80% vol - Com um teor de ?gua igual ou inferior a 1 % vol (?lcool et?lico anidro combust?vel)
VII;COMBUST?VEIS E LUBRIFICANTES;11;600101;2207.10.90;?lcool et?lico n?o desnaturado, com um teor alco?lico em volume igual ou superior a 80% vol - Outros (?lcool et?lico hidratado combust?vel)
VII;COMBUST?VEIS E LUBRIFICANTES;20;600200;2710.12.59;Gasolina automotiva A, exceto Premium
VII;COMBUST?VEIS E LUBRIFICANTES;21;600201;2710.12.59;Gasolina automotiva C, exceto Premium
VII;COMBUST?VEIS E LUBRIFICANTES;22;600202;2710.12.59;Gasolina automotiva A Premium
VII;COMBUST?VEIS E LUBRIFICANTES;23;600203;2710.12.59;Gasolina automotiva C Premium
VII;COMBUST?VEIS E LUBRIFICANTES;30;600300;2710.12.51;Gasolina de avia??o
VII;COMBUST?VEIS E LUBRIFICANTES;40;600400;2710.19.19;Querosenes, exceto de avia??o
VII;COMBUST?VEIS E LUBRIFICANTES;50;600500;2710.19.11;Querosene de avia??o
VII;COMBUST?VEIS E LUBRIFICANTES;60;600600;2710.19.2;?leo diesel A, exceto S10 e Mar?timo
VII;COMBUST?VEIS E LUBRIFICANTES;61;600601;2710.19.2;?leo diesel B, exceto S10 (mistura obrigat?ria)
VII;COMBUST?VEIS E LUBRIFICANTES;62;600602;2710.19.2;?leo diesel B, exceto S10 (misturas autorizativas)
VII;COMBUST?VEIS E LUBRIFICANTES;63;600603;2710.19.2;?leo diesel B, exceto S10 (misturas experimentais)
VII;COMBUST?VEIS E LUBRIFICANTES;64;600604;2710.19.2;?leo diesel A S10
VII;COMBUST?VEIS E LUBRIFICANTES;65;600605;2710.19.2;?leo diesel B S10 (mistura obrigat?ria)
VII;COMBUST?VEIS E LUBRIFICANTES;66;600606;2710.19.2;?leo diesel B S10 (misturas autorizativas)
VII;COMBUST?VEIS E LUBRIFICANTES;67;600607;2710.19.2;?leo diesel B S10 (misturas experimentais)
VII;COMBUST?VEIS E LUBRIFICANTES;68;600608;2710.19.2;?leo Diesel Mar?timo
VII;COMBUST?VEIS E LUBRIFICANTES;69;600609;2710.19.2;Outros ?leos combust?veis, exceto os classificados no CEST 06.006.10 e 06.006.11
VII;COMBUST?VEIS E LUBRIFICANTES;610;600610;2710.19.2;?leo combust?vel derivado de xisto
VII;COMBUST?VEIS E LUBRIFICANTES;611;600611;2710.19.22;?leo combust?vel pesado
VII;COMBUST?VEIS E LUBRIFICANTES;70;600700;2710.19.3;?leos lubrificantes
VII;COMBUST?VEIS E LUBRIFICANTES;80;600800;2710.19.9;Outros ?leos de petr?leo ou de minerais betuminosos (exceto ?leos brutos) e prepara??es n?o especificadas nem compreendidas noutras posi??es, que contenham, como constituintes b?sicos, 70% ou mais, em peso, de ?leos de petr?leo ou de minerais betuminosos, exceto os que contenham biodiesel, exceto os res?duos de ?leos e exceto as graxas lubrificantes
VII;COMBUST?VEIS E LUBRIFICANTES;81;600801;2710.19.9;Graxa lubrificante
VII;COMBUST?VEIS E LUBRIFICANTES;90;600900;2710.9;Res?duos de ?leos
VII;COMBUST?VEIS E LUBRIFICANTES;100;601000;2711;G?s de petr?leo e outros hidrocarbonetos gasosos, exceto GLP, GLGN, G?s Natural e G?s de xisto.
VII;COMBUST?VEIS E LUBRIFICANTES;110;601100;2711.19.10;G?s liquefeito de petr?leo em botij?o de 13 Kg (GLP)
VII;COMBUST?VEIS E LUBRIFICANTES;111;601101;2711.19.10;G?s liquefeito de petr?leo (GLP), exceto em botij?o de 13 Kg
VII;COMBUST?VEIS E LUBRIFICANTES;112;601102;2711.19.10;G?s liquefeito de petr?leo em botij?o de 13 Kg (GLGNn)
VII;COMBUST?VEIS E LUBRIFICANTES;113;601103;2711.19.10;G?s liquefeito de petr?leo (GLGNn), exceto em botij?o de 13 Kg
VII;COMBUST?VEIS E LUBRIFICANTES;114;601104;2711.19.10;G?s liquefeito de petr?leo em botij?o de 13 Kg (GLGNi)
VII;COMBUST?VEIS E LUBRIFICANTES;115;601105;2711.19.10;G?s liquefeito de petr?leo (GLGNi), exceto em botij?o de 13 Kg
VII;COMBUST?VEIS E LUBRIFICANTES;116;601106;2711.19.10;G?s liquefeito de petr?leo em botij?o de 13 kg (Misturas)
VII;COMBUST?VEIS E LUBRIFICANTES;117;601107;2711.19.10;G?s liquefeito de petr?leo (Misturas), exceto em botij?o de 13 Kg
VII;COMBUST?VEIS E LUBRIFICANTES;120;601200;2711.11.00;G?s Natural Liquefeito
VII;COMBUST?VEIS E LUBRIFICANTES;130;601300;2711.21.00;G?s Natural Gasoso
VII;COMBUST?VEIS E LUBRIFICANTES;140;601400;2711.29.90;G?s de xisto
VII;COMBUST?VEIS E LUBRIFICANTES;150;601500;2713;Coque de petr?leo e outros res?duos de ?leo de petr?leo ou de minerais betuminosos
VII;COMBUST?VEIS E LUBRIFICANTES;160;601600;3826.00.00;Biodiesel e suas misturas, que n?o contenham ou que contenham menos de 70%, em peso, de ?leos de petr?leo ou de ?leos minerais betuminosos
