CFOP;Descri????o Resumida do CFOP;Aplica????o
1131;1.131 - Entrada de mercadoria com previs??o de posterior ajuste ou fixa????o de pre??o, decorrente de opera????o de ato cooperativo;Classificam-se neste c??digo as entradas de mercadorias com previs??o de posterior ajuste ou fixa????o de pre??o, proveniente de cooperado, bem como proveniente de outra cooperativa, em que a sa??da tenha sido classificada no c??digo ???5.131 - Remessa de produ????o do estabelecimento com previs??o de posterior ajuste ou fixa????o de pre??o.??? (AJUSTE SINIEF 18, DE 29 DE SETEMBRO DE 2017) efeitos a partir de 1?? de janeiro de 2018.
1132;1.132 - Fixa????o de pre??o de produ????o do estabelecimento produtor, inclusive quando remetidas anteriormente com previs??o de posterior ajuste ou fixa????o de pre??o, em ato cooperativo, para comercializa????o;Classificam-se neste c??digo as entradas para comercializa????o referentes a fixa????o de pre??o de produ????o do estabelecimento do produtor, inclusive quando remetidas anteriormente com previs??o de posterior ajuste ou fixa????o de pre??o de ato cooperativo cuja sa??da tenha sido classificada sob o c??digo ???5.132 - Fixa????o de pre??o de produ????o do estabelecimento, inclusive quando remetidas anteriormente com previs??o de posterior ajuste ou fixa????o de pre??o de ato cooperativo.??? (AJUSTE SINIEF 18, DE 29 DE SETEMBRO DE 2017) efeitos a partir de 1?? de janeiro de 2018.
1135;1.135 - Fixa????o de pre??o de produ????o do estabelecimento produtor, inclusive quando remetidas anteriormente com previs??o de posterior ajuste ou fixa????o de pre??o, em ato cooperativo, para industrializa????o;Classificam-se neste c??digo as entradas para industrializa????o referentes a fixa????o de pre??o de produ????o do estabelecimento do produtor, inclusive quando remetidas anteriormente com previs??o de posterior ajuste ou fixa????o de pre??o de ato cooperativo cuja sa??da tenha sido classificada sob o c??digo ???5.132 - Fixa????o de pre??o de produ????o do estabelecimento, inclusive quando remetidas anteriormente com previs??o de posterior ajuste ou fixa????o de pre??o de ato cooperativo.??? (AJUSTE SINIEF 18, DE 29 DE SETEMBRO DE 2017) efeitos a partir de 1?? de janeiro de 2018.
1151;1.151 - Transfer??ncia p/ industrializa????o ou produ????o rural;"Entrada de mercadoria recebida, em transfer??ncia de outro estabelecimento da mesma empresa, para ser utilizada em processo de industrializa????o ou produ????o rural.(DECRETO N?? 28.868, DE 31/01/2006-??? Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua ado????o para fatos geradores ocorridos no per??odo de 01 de novembro a 31 de dezembro de 2005)."
1152;1.152 - Transfer??ncia p/ comercializa????o;Classificam-se neste c??digo as entradas de mercadorias recebidas em transfer??ncia de outro estabelecimento da mesma empresa, para serem comercializadas.
1153;1.153 - Transfer??ncia de energia el??trica p/ distribui????o;Classificam-se neste c??digo as entradas de energia el??trica recebida em transfer??ncia de outro estabelecimento da mesma empresa, para distribui????o.
1154;1.154 - Transfer??ncia p/ utiliza????o na presta????o de servi??o;Classificam-se neste c??digo as entradas de mercadorias recebidas em transfer??ncia de outro estabelecimento da mesma empresa, para serem utilizadas nas presta????es de servi??os.
1159;1.159 - Entrada decorrente do fornecimento de produto ou mercadoria de ato cooperativo;"Classificam-se neste c??digo as entradas decorrentes de fornecimento de produtos ou mercadorias por estabelecimento de cooperativa destinados a seus cooperados ou a estabelecimento de outra cooperativa, cujo fornecimento tenha sido classificado no c??digo ""5.159 ??? Fornecimento de produ????o do estabelecimento de ato cooperativo??? ou ???5.160 ??? Fornecimento de mercadoria adquirida ou recebida de terceiros de ato cooperativo???"
1201;1.201 - Devolu????o de venda de produ????o do estabelecimento;"Devolu????o de venda de produto industrializado ou produzido pelo estabelecimento, cuja sa??da tenha sido classificada como ""Venda de produ????o do estabelecimento"". (NR Ajuste SINIEF 05/2005) (Decreto 28.868/2006)(DECRETO N?? 28.868, DE 31/01/2006-??? Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua ado????o para fatos geradores ocorridos no per??odo de 01 de novembro a 31 de dezembro de 2005)."
1202;1.202 - Devolu????o de venda de mercadoria adquirida ou recebida de terceiros;Classificam-se neste c??digo as devolu????es de vendas de mercadorias adquiridas ou recebidas de terceiros, que n??o tenham sido objeto de industrializa????o no estabelecimento, cujas sa??das tenham sido classificadas como Venda de mercadoria adquirida ou recebida de terceiros.
1203;1.203 - Devolu????o de venda de produ????o do estabelecimento, destinada ?? ZFM ou ALC;"Devolu????o de venda de produto industrializado ou produzido pelo estabelecimento, cuja sa??da tenha sido classificada no c??digo ""5.109 ??? Venda de produ????o do estabelecimento destinada ?? Zona Franca de Manaus ou ??reas de Livre Com??rcio"". (NR Ajuste SINIEF 05/2005) (Decreto 28.868/2006)(DECRETO N?? 28.868, DE 31/01/2006-??? Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua ado????o para fatos geradores ocorridos no per??odo de 01 de novembro a 31 de dezembro de 2005)."
1204;1.204 - Devolu????o de venda de mercadoria adquirida ou recebida de terceiros, destinada ?? ZFM ou ALC;Classificam-se neste c??digo as devolu????es de vendas de mercadorias adquiridas ou recebidas de terceiros, cujas sa??das foram classificadas no c??digo 5.110 - Venda de mercadoria adquirida ou recebida de terceiros, destinada ?? Zona Franca de Manaus ou ??reas de Livre Com??rcio.
1205;1.205 - Anula????o de valor relativo ?? presta????o de servi??o de comunica????o;Classificam-se neste c??digo as anula????es correspondentes a valores faturados indevidamente, decorrentes de presta????es de servi??os de comunica????o.
1206;1.206 - Anula????o de valor relativo ?? presta????o de servi??o de transporte;Classificam-se neste c??digo as anula????es correspondentes a valores faturados indevidamente, decorrentes de presta????es de servi??os de transporte.
1207;1.207 - Anula????o de valor relativo ?? venda de energia el??trica;Classificam-se neste c??digo as anula????es correspondentes a valores faturados indevidamente, decorrentes de venda de energia el??trica.
1208;1.208 - Devolu????o de produ????o do estabelecimento, remetida em transfer??ncia;"Devolu????o de produto industrializado ou produzido pelo estabelecimento transferido para outro estabelecimento da mesma empresa. (NR Ajuste SINIEF 05/2005) (Decreto 28.868/2006)(DECRETO N?? 28.868, DE 31/01/2006-??? Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua ado????o para fatos geradores ocorridos no per??odo de 01 de novembro a 31 de dezembro de 2005)."
1209;1.209 - Devolu????o de mercadoria adquirida ou recebida de terceiros, remetida em transfer??ncia;Classificam-se neste c??digo as devolu????es de mercadorias adquiridas ou recebidas de terceiros, transferidas para outros estabelecimentos da mesma empresa.
1212;1.212 - Devolu????o de venda no mercado interno de mercadoria industrializada e insumo importado sob o Regime Aduaneiro Especial de Entreposto Industrial (Recof-Sped);Classificam-se neste c??digo as devolu????es de vendas de produtos industrializados e insumos importados pelo estabelecimento. (AJUSTE SINIEF 5, DE 7 DE MAR??O DE 2016) efeitos a partir de 1?? de abril de 2016.
1213;1.213 - Devolu????o de remessa de produ????o do estabelecimento com previs??o de posterior ajuste ou fixa????o de pre??o, em ato cooperativo;Classificam-se neste c??digo as devolu????es de remessa que tenham sido classificadas no c??digo ???5.131 - Remessa de produ????o do estabelecimento, com previs??o de posterior ajuste ou fixa????o de pre??o de ato cooperativo.??? (AJUSTE SINIEF 18, DE 29 DE SETEMBRO DE 2017) efeitos a partir de 1?? de janeiro de 2018.
1214;1.214 - Devolu????o de fixa????o de pre??o de produ????o do estabelecimento produtor, de ato cooperativo;Classificam-se neste c??digo as devolu????es de fixa????o de pre??o de produ????o do estabelecimento produtor cuja sa??da tenha sido classificada no c??digo ???5.132 - Fixa????o de pre??o de produ????o do estabelecimento, inclusive quando remetidas anteriormente com previs??o de posterior ajuste ou fixa????o de pre??o de ato cooperativo.??? (AJUSTE SINIEF 18, DE 29 DE SETEMBRO DE 2017) efeitos a partir de 1?? de janeiro de 2018.
1215;1.215 - Devolu????o de fornecimento de produ????o do estabelecimento de ato cooperativo;Classificam-se neste c??digo as devolu????es de fornecimentos de produtos industrializados ou produzidos pelo pr??prio estabelecimento de cooperativa destinados a seus cooperados ou a estabelecimento de outra cooperativa, cujas sa??das tenham sido classificadas no c??digo 5.159 - Fornecimento de produ????o do estabelecimento de ato cooperativo.
1216;1.216 - Devolu????o de fornecimento de mercadoria adquirida ou recebida de terceiros de ato cooperativo;Classificam-se neste c??digo as devolu????es de fornecimentos de mercadorias adquiridas ou recebidas de terceiros, que n??o tenham sido objeto de qualquer processo industrial no estabelecimento de cooperativa, destinados a seus cooperados ou a estabelecimento de outra cooperativa, cujas sa??das tenham sido classificadas no c??digo 5.160 - Fornecimento de mercadoria adquirida ou recebida de terceiros de ato cooperativo.
1251;1.251 - Compra de energia el??trica p/ distribui????o ou comercializa????o;Classificam-se neste c??digo as compras de energia el??trica utilizada em sistema de distribui????o ou comercializa????o. Tamb??m ser??o classificadas neste c??digo as compras de energia el??trica por cooperativas para distribui????o aos seus cooperados.
1252;1.252 - Compra de energia el??trica por estabelecimento industrial;Classificam-se neste c??digo as compras de energia el??trica utilizada no processo de industrializa????o. Tamb??m ser??o classificadas neste c??digo as compras de energia el??trica utilizada por estabelecimento industrial de cooperativa.
1253;1.253 - Compra de energia el??trica por estabelecimento comercial;Classificam-se neste c??digo as compras de energia el??trica utilizada por estabelecimento comercial. Tamb??m ser??o classificadas neste c??digo as compras de energia el??trica utilizada por estabelecimento comercial de cooperativa.
1254;1.254 - Compra de energia el??trica por estabelecimento prestador de servi??o de transporte;Classificam-se neste c??digo as compras de energia el??trica utilizada por estabelecimento prestador de servi??os de transporte.
1255;1.255 - Compra de energia el??trica por estabelecimento prestador de servi??o de comunica????o;Classificam-se neste c??digo as compras de energia el??trica utilizada por estabelecimento prestador de servi??os de comunica????o.
1256;1.256 - Compra de energia el??trica por estabelecimento de produtor rural;Classificam-se neste c??digo as compras de energia el??trica utilizada por estabelecimento de produtor rural.
1257;1.257 - Compra de energia el??trica p/ consumo por demanda contratada;Classificam-se neste c??digo as compras de energia el??trica para consumo por demanda contratada, que prevalecer?? sobre os demais c??digos deste subgrupo.
1301;1.301 - Aquisi????o de servi??o de comunica????o p/ execu????o de servi??o da mesma natureza;Classificam-se neste c??digo as aquisi????es de servi??os de comunica????o utilizados nas presta????es de servi??os da mesma natureza.
1302;1.302 - Aquisi????o de servi??o de comunica????o por estabelecimento industrial;Classificam-se neste c??digo as aquisi????es de servi??os de comunica????o utilizados por estabelecimento industrial. Tamb??m ser??o classificadas neste c??digo as aquisi????es de servi??os de comunica????o utilizados por estabelecimento industrial de cooperativa.
1303;1.303 - Aquisi????o de servi??o de comunica????o por estabelecimento comercial;Classificam-se neste c??digo as aquisi????es de servi??os de comunica????o utilizados por estabelecimento comercial. Tamb??m ser??o classificadas neste c??digo as aquisi????es de servi??os de comunica????o utilizados por estabelecimento comercial de cooperativa.
1304;1.304 - Aquisi????o de servi??o de comunica????o por estabelecimento de prestador de servi??o de transporte;Classificam-se neste c??digo as aquisi????es de servi??os de comunica????o utilizados por estabelecimento prestador de servi??o de transporte.
1305;1.305 - Aquisi????o de servi??o de comunica????o por estabelecimento de geradora ou de distribuidora de energia el??trica;Classificam-se neste c??digo as aquisi????es de servi??os de comunica????o utilizados por estabelecimento de geradora ou de distribuidora de energia el??trica.
1306;1.306 - Aquisi????o de servi??o de comunica????o por estabelecimento de produtor rural;Classificam-se neste c??digo as aquisi????es de servi??os de comunica????o utilizados por estabelecimento de produtor rural.
1351;1.351 - Aquisi????o de servi??o de transporte p/ execu????o de servi??o da mesma natureza;Classificam-se neste c??digo as aquisi????es de servi??os de transporte utilizados nas presta????es de servi??os da mesma natureza.
1352;1.352 - Aquisi????o de servi??o de transporte por estabelecimento industrial;Classificam-se neste c??digo as aquisi????es de servi??os de transporte utilizados por estabelecimento industrial. Tamb??m ser??o classificadas neste c??digo as aquisi????es de servi??os de transporte utilizados por estabelecimento industrial de cooperativa.
1353;1.353 - Aquisi????o de servi??o de transporte por estabelecimento comercial;Classificam-se neste c??digo as aquisi????es de servi??os de transporte utilizados por estabelecimento comercial. Tamb??m ser??o classificadas neste c??digo as aquisi????es de servi??os de transporte utilizados por estabelecimento comercial de cooperativa.
1354;1.354 - Aquisi????o de servi??o de transporte por estabelecimento de prestador de servi??o de comunica????o;Classificam-se neste c??digo as aquisi????es de servi??os de transporte utilizados por estabelecimento prestador de servi??os de comunica????o.
1355;1.355 - Aquisi????o de servi??o de transporte por estabelecimento de geradora ou de distribuidora de energia el??trica;Classificam-se neste c??digo as aquisi????es de servi??os de transporte utilizados por estabelecimento de geradora ou de distribuidora de energia el??trica.
1356;1.356 - Aquisi????o de servi??o de transporte por estabelecimento de produtor rural;Classificam-se neste c??digo as aquisi????es de servi??os de transporte utilizados por estabelecimento de produtor rural.
1360;1.360 - Aquisi????o de servi??o de transporte por contribuinte-substituto em rela????o ao servi??o de transporte;Aquisi????o de servi??o de transporte quando o adquirente for contribuinte-substituto em rela????o ao imposto incidente na presta????o dos servi??os
1401;1.401 - Compra p/ industrializa????o ou produ????o rural de mercadoria sujeita a ST;"Compra de mercadoria sujeita ao regime de substitui????o tribut??ria, a ser utilizada em processo de industrializa????o ou produ????o rural, bem como compra, por estabelecimento industrial ou produtor rural de cooperativa, de mercadoria sujeita ao mencionado regime.(DECRETO N?? 28.868, DE 31/01/2006-??? Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua ado????o para fatos geradores ocorridos no per??odo de 01 de novembro a 31 de dezembro de 2005)."
1403;1.403 - Compra p/ comercializa????o em opera????o com mercadoria sujeita a ST;Classificam-se neste c??digo as compras de mercadorias a serem comercializadas, decorrentes de opera????es com mercadorias sujeitas ao regime de substitui????o tribut??ria. Tamb??m ser??o classificadas neste c??digo as compras de mercadorias sujeitas ao regime de substitui????o tribut??ria em estabelecimento comercial de cooperativa.
1406;1.406 - Compra de bem p/ o ativo imobilizado cuja mercadoria est?? sujeita a ST;Classificam-se neste c??digo as compras de bens destinados ao ativo imobilizado do estabelecimento, em opera????es com mercadorias sujeitas ao regime de substitui????o tribut??ria.
1407;1.407 - Compra de mercadoria p/ uso ou consumo cuja mercadoria est?? sujeita a ST;Classificam-se neste c??digo as compras de mercadorias destinadas ao uso ou consumo do estabelecimento, em opera????es com mercadorias sujeitas ao regime de substitui????o tribut??ria.
1408;1.408 - Transfer??ncia p/ industrializa????o ou produ????o rural de mercadoria sujeita a ST;"Mercadoria sujeita ao regime de substitui????o tribut??ria, recebida em transfer??ncia de outro estabelecimento da mesma empresa, para ser industrializada ou consumida na produ????o rural no estabelecimento.(DECRETO N?? 28.868, DE 31/01/2006-??? Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua ado????o para fatos geradores ocorridos no per??odo de 01 de novembro a 31 de dezembro de 2005)."
1409;1.409 - Transfer??ncia p/ comercializa????o em opera????o com mercadoria sujeita a ST;Classificam-se neste c??digo as mercadorias recebidas em transfer??ncia de outro estabelecimento da mesma empresa, para serem comercializadas, decorrentes de opera????es sujeitas ao regime de substitui????o tribut??ria.
1410;1.410 - Devolu????o de venda de mercadoria, de produ????o do estabelecimento, sujeita a ST;"Devolu????o de produto industrializado ou produzido pelo estabelecimento, cuja sa??da tenha sido classificada como ""Venda de mercadoria de produ????o do estabelecimento sujeita ao regime de substitui????o tribut??ria"".(NR Ajuste SINIEF 05/2005) (DECRETO N?? 28.868, DE 31/01/2006-??? Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua ado????o para fatos geradores ocorridos no per??odo de 01 de novembro a 31 de dezembro de 2005)."
1411;1.411 - Devolu????o de venda de mercadoria adquirida ou recebida de terceiros em opera????o com mercadoria sujeita a ST;Classificam-se neste c??digo as devolu????es de vendas de mercadorias adquiridas ou recebidas de terceiros, cujas sa??das tenham sido classificadas como Venda de mercadoria adquirida ou recebida de terceiros em opera????o com mercadoria sujeita ao regime de substitui????o tribut??ria.
1414;1.414 - Retorno de mercadoria de produ????o do estabelecimento, remetida p/ venda fora do estabelecimento, sujeita a ST;"Entrada, em retorno, de produto industrializado ou produzido pelo pr??prio estabelecimento, remetido para venda fora do estabelecimento, inclusive por meio de ve??culo, sujeito ao regime de substitui????o tribut??ria e n??o comercializado.(NR Ajuste SINIEF 05/2005) (DECRETO N?? 28.868, DE 31/01/2006-??? Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua ado????o para fatos geradores ocorridos no per??odo de 01 de novembro a 31 de dezembro de 2005)."
1415;1.415 - Retorno de mercadoria adquirida ou recebida de terceiros, remetida p/ venda fora do estabelecimento em opera????o com mercadoria sujeita a ST;Classificam-se neste c??digo as entradas, em retorno, de mercadorias adquiridas ou recebidas de terceiros remetidas para vendas fora do estabelecimento, inclusive por meio de ve??culos, em opera????es com mercadorias sujeitas ao regime de substitui????o tribut??ria, e n??o comercializadas.
1451;"1.451 - Entrada de animal - Sistema de Integra????o e Parceria Rural";"Classificam-se neste c??digo as entradas de animais pelo sistema integrado e de produ????o animal, para cria????o, recria????o ou engorda,inclusive em sistema de confinamento. Tamb??m ser??o classificadas neste c??digo as entradas do sistema de integra????o e produ????oanimal decorrentes de ???ato cooperativo???, inclusive as opera????es entre cooperativa singular e cooperativa central."
1452;"1.452 - Entrada de insumo - Sistema de Integra????o e Parceria Rural";"Classificam-se neste c??digo as entradas de insumos pelo sistema integrado e de produ????o animal, para cria????o, recria????o ou engorda,inclusive em sistema de confinamento. Tamb??m ser??o classificadas neste c??digo as entradas do sistema de integra????o e produ????oanimal decorrentes de ???ato cooperativo???, inclusive as opera????es entre cooperativa singular e cooperativa central.???"
1453;1.453 - Retorno do animal ou da produ????o - Sistema de Integra????o e Parceria Rural;"Classificam-se neste c??digo as entradas referentes ao retorno da produ????o, bem como de animais criados, recriados ou engordadospelo produtor no sistema integrado e de produ????o animal, cujas sa??das tenham sido classificadas no c??digo ???5.453 - Retorno de animalou da produ????o - Sistema de Integra????o e Parceria Rural???. Tamb??m ser??o classificados neste c??digo os retornos do sistema de integra????oe produ????o animal decorrentes de ???ato cooperativo???, inclusive as opera????es entre cooperativa singular e cooperativa central."
1454;1.454 - Retorno simb??lico do animal ou da produ????o - Sistema de Integra????o e Parceria Rural;"Classificam-se neste c??digo as entradas referentes ao retorno simb??lico da produ????o, bem como de animais criados, recriados ouengordados pelo produtor no sistema integrado e de produ????o animal, cujas sa??das tenham sido classificadas no c??digo ???5.454 - Retornosimb??lico de animal ou da produ????o - Sistema de Integra????o e Parceria Rural???."
1455;1.455 - Retorno de insumo n??o utilizado na produ????o - Sistema de Integra????o e Parceria Rural;"Classificam-se neste c??digo os retornos de insumos n??o utilizados pelo produtor na cria????o, recria????o ou engorda de animais pelosistema integrado e de produ????o animal, cujas sa??das tenham sido classificadas no c??digo ???5.455 - Retorno de insumos n??o utilizadosna produ????o ??? Sistema de Integra????o e Parceria Rural???, inclusive as opera????es entre cooperativa singular e cooperativa central."
1456;1.456 - Entrada referente a remunera????o do produtor no Sistema de Integra????o e Parceria Rural;"Classificam-se neste c??digo as entradas da parcela da produ????o do produtor realizadas em sistema de integra????o e produ????o animal,quando da entrega ao integrador ou parceiro. Tamb??m ser??o classificadas neste c??digo as entradas decorrentes de ???ato cooperativo???,inclusive as opera????es entre cooperativa singular e cooperativa central.???"
1501;1.501 - Entrada de mercadoria recebida com fim espec??fico de exporta????o;Classificam-se neste c??digo as entradas de mercadorias em estabelecimento de trading company, empresa comercial exportadora ou outro estabelecimento do remetente, com fim espec??fico de exporta????o.
1503;1.503 - Entrada decorrente de devolu????o de produto, de fabrica????o do estabelecimento, remetido com fim espec??fico de exporta????o;"Devolu????o de produto industrializado ou produzido pelo estabelecimento, remetido a ""trading company"", a empresa comercial exportadora ou a outro estabelecimento do remetente, com fim espec??fico de exporta????o, cuja sa??da tenha sido classificada no c??digo ""5.501 ??? Remessa de produ????o do estabelecimento com fim espec??fico de exporta????o"".(NR Ajuste SINIEF 05/2005) (Dec.28.868/2006 - a sua aplica????o ser?? obrigat??ria em rela????o aos fatos geradores ocorridos a partir de 01 de julho de 2006, ficando facultada ao contribuinte a sua ado????o para fatos geradores ocorridos no per??odo de 01 de janeiro a 30 de junho de 2006)."
1504;1.504 - Entrada decorrente de devolu????o de mercadoria remetida com fim espec??fico de exporta????o, adquirida ou recebida de terceiros;Devolu????o de mercadoria, adquirida ou recebida de terceiro, remetida a trading company, a empresa comercial exportadora ou a outro estabelecimento do remetente, com fim espec??fico de exporta????o, cuja sa??da tenha sido classificada no c??digo ???5.502 - Remessa de mercadoria adquirida ou recebida de terceiros, com fim espec??fico de exporta????o???.
1505;1.505 - Entrada decorrente de devolu????o de mercadorias remetidas para forma????o de lote de exporta????o, de produtos industrializados ou produzidos pelo pr??prio estabelecimento;"Classificam-se neste c??digo as devolu????es simb??licas ou f??sicas de mercadorias, bem como o retorno de mercadorias n??o entregues, remetidas para forma????o de lote de exporta????o cujas sa??das tenham sido classificadas no c??digo ???5.504 - Remessa de mercadorias para forma????o de lote de exporta????o, de produtos industrializados ou produzidos pelo pr??prio estabelecimento"""
1506;1.506 - Entrada decorrente de devolu????o de mercadorias, adquiridas ou recebidas de terceiros, remetidas para forma????o de lote de exporta????o;Classificam-se neste c??digo as devolu????es simb??licas ou f??sicas de mercadorias, bem como o retorno de mercadorias n??o entregues, remetidas para forma????o de lote de exporta????o em armaz??ns alfandegados, entrepostos aduaneiros ou outros estabelecimentos que venham a ser regulamentados pela legisla????o tribut??ria de cada Unidade Federada, efetuadas pelo estabelecimento deposit??rio, cujas sa??das tenham sido classificadas no c??digo ???5.505 - Remessa de mercadorias, adquiridas ou recebidas de terceiros, para forma????o de lote de exporta????o???.
1551;1.551 - Compra de bem p/ o ativo imobilizado;Classificam-se neste c??digo as compras de bens destinados ao ativo imobilizado do estabelecimento.
1552;1.552 - Transfer??ncia de bem do ativo imobilizado;Classificam-se neste c??digo as entradas de bens destinados ao ativo imobilizado recebidos em transfer??ncia de outro estabelecimento da mesma empresa.
1553;1.553 - Devolu????o de venda de bem do ativo imobilizado;Classificam-se neste c??digo as devolu????es de vendas de bens do ativo imobilizado, cujas sa??das tenham sido classificadas no c??digo 5.551 - Venda de bem do ativo imobilizado.
1554;1.554 - Retorno de bem do ativo imobilizado remetido p/ uso fora do estabelecimento;Classificam-se neste c??digo as entradas por retorno de bens do ativo imobilizado remetidos para uso fora do estabelecimento, cujas sa??das tenham sido classificadas no c??digo 5.554 - Remessa de bem do ativo imobilizado para uso fora do estabelecimento.
1555;1.555 - Entrada de bem do ativo imobilizado de terceiro, remetido p/ uso no estabelecimento;Classificam-se neste c??digo as entradas de bens do ativo imobilizado de terceiros, remetidos para uso no estabelecimento.
1556;1.556 - Compra de material p/ uso ou consumo;Classificam-se neste c??digo as compras de mercadorias destinadas ao uso ou consumo do estabelecimento.
